company_name,high,low,last_price,prev_close,change,percent_gain
Motherson SWI,59.80,59.15,59.70,58.75,0.95,1.62
Motilal Oswal,"1,049.95","1,028.00","1,043.20","1,026.70",16.5,1.61
Coromandel Int,"1,121.10","1,101.90","1,114.95","1,097.50",17.45,1.59
Kajaria Ceramic,"1,305.00","1,290.70","1,296.00","1,275.75",20.25,1.59
Blue Star,980.00,960.40,965.00,950.00,15,1.58
Apar Ind,"5,308.00","5,132.10","5,187.95","5,107.60",80.35,1.57
Affle India,"1,036.60","1,025.10","1,033.55","1,017.60",15.95,1.57
BEML,"2,219.95","2,190.60","2,204.85","2,170.85",34,1.57
REC,331.00,326.50,330.80,325.70,5.1,1.57
TMB,536.00,526.00,531.40,523.25,8.15,1.56
Jubilant Pharmo,414.00,408.10,413.00,406.65,6.35,1.56
Manappuram Fin,138.20,136.10,138.15,136.05,2.1,1.54
Godrej Agrovet,485.00,478.40,482.70,475.55,7.15,1.5
JK Lakshmi Cem,794.00,778.35,789.00,777.35,11.65,1.5
Kansai Nerolac,309.00,306.65,308.90,304.40,4.5,1.48
Nuvoco Vistas,352.85,346.85,348.60,343.50,5.1,1.48
Jindal Worldwid,346.00,337.45,342.70,337.80,4.9,1.45
Mahindra Logist,367.20,361.75,364.30,359.10,5.2,1.45
Rail Vikas,159.05,157.55,158.45,156.20,2.25,1.44
Sundaram Fin,"3,242.00","3,184.95","3,229.55","3,183.80",45.75,1.44
HLE Glascoat,523.90,518.00,520.60,513.25,7.35,1.43
HLE Glascoat,523.90,518.00,520.60,513.25,7.35,1.43
Solar Ind,"6,223.80","6,153.40","6,190.50","6,104.55",85.95,1.41
Suven Pharma,598.95,586.00,588.90,580.70,8.2,1.41
Aarti Ind,524.50,516.00,518.30,511.15,7.15,1.4
Suprajit Eng,378.00,373.00,373.15,368.00,5.15,1.4
Star Health,554.00,547.50,552.20,544.55,7.65,1.4
Schaeffler Ind,"2,810.00","2,781.00","2,786.30","2,748.45",37.85,1.38
Cera Sanitary,"8,750.95","8,621.30","8,725.00","8,607.10",117.9,1.37
NALCO,92.90,92.00,92.55,91.30,1.25,1.37
EIH,234.95,233.05,234.00,230.85,3.15,1.36
Adani Total Gas,549.50,544.65,546.80,539.50,7.3,1.35
Guj Alkali,735.45,724.00,733.80,724.05,9.75,1.35
Sapphire Foods,"1,329.50","1,304.85","1,317.95","1,300.40",17.55,1.35
Infosys,"1,388.00","1,380.05","1,387.25","1,368.85",18.4,1.34
Prince Pipes,735.00,717.00,722.00,712.45,9.55,1.34
MTAR Tech,"2,269.00","2,242.00","2,247.05","2,217.50",29.55,1.33
IDFC,118.80,117.85,118.60,117.05,1.55,1.32
Rattanindia Ent,62.45,60.75,61.85,61.05,0.8,1.31
Avanti Feeds,401.80,397.05,401.00,395.85,5.15,1.3
CRISIL,"4,199.00","4,130.70","4,153.00","4,099.85",53.15,1.3
NBCC (India),66.75,66.20,66.60,65.75,0.85,1.29
Laxmi Organic,277.45,274.00,276.30,272.80,3.5,1.28
Jyothy Labs,423.00,416.75,419.25,414.05,5.2,1.26
Delta Corp,142.40,141.50,141.85,140.10,1.75,1.25
Sterlite Techno,142.00,140.20,141.60,139.85,1.75,1.25
Vedant Fashions,"1,357.90","1,342.05","1,349.35","1,332.70",16.65,1.25
Zee Entertain,253.50,249.35,252.00,248.95,3.05,1.23
UCO Bank,37.70,37.35,37.45,37.00,0.45,1.22
Ashok Leyland,176.35,175.00,175.90,173.80,2.1,1.21
Ceat,"2,149.90","2,120.50","2,132.70","2,107.10",25.6,1.21
Westlife Food,833.70,821.15,828.10,818.40,9.7,1.19
SJVN,77.30,76.20,76.70,75.80,0.9,1.19
Sona BLW,574.00,568.05,572.00,565.25,6.75,1.19
Suzlon Energy,38.75,38.10,38.35,37.90,0.45,1.19
CCL Products,634.75,630.00,633.00,625.60,7.4,1.18
Devyani Int,185.75,184.40,184.90,182.75,2.15,1.18
Nippon,404.70,400.50,402.15,397.45,4.7,1.18
Bank of India,104.55,103.65,104.20,103.00,1.2,1.17
TVS Motor,"1,654.95","1,635.00","1,651.00","1,631.95",19.05,1.17
Can Fin Homes,759.00,751.20,757.00,748.35,8.65,1.16
IRB Infra,35.65,35.20,35.30,34.90,0.4,1.15
IRB Infra,35.65,35.20,35.30,34.90,0.4,1.15
Poonawalla Fin,395.40,392.00,394.60,390.10,4.5,1.15
ICICI Lombard ,"1,374.40","1,349.05","1,367.60","1,352.25",15.35,1.14
Jubilant Ing.,418.00,409.35,415.60,410.90,4.7,1.14
Supreme Ind,"4,339.95","4,261.30","4,296.20","4,247.95",48.25,1.14
Birla Corp,"1,305.25","1,280.10","1,286.95","1,272.55",14.4,1.13
GSFC,183.95,182.50,183.00,180.95,2.05,1.13
Cyient,"1,680.00","1,665.00","1,679.50","1,660.70",18.8,1.13
Linde India,"6,140.00","6,072.90","6,110.05","6,043.15",66.9,1.11
Birlasoft,591.55,586.00,589.85,583.40,6.45,1.11
KNR Construct,268.50,265.80,267.55,264.65,2.9,1.1
Tejas Networks,854.90,849.80,852.70,843.45,9.25,1.1
Guj State Petro,277.65,275.60,277.40,274.40,3,1.09
Indian Bank,421.90,419.25,420.60,416.05,4.55,1.09
Sunteck Realty,453.45,446.00,452.65,447.75,4.9,1.09
Krishna Inst.,"1,905.00","1,885.00","1,889.00","1,868.60",20.4,1.09
Rainbow Child,"1,030.50","1,023.05","1,029.00","1,017.90",11.1,1.09
Aarti Drugs,488.25,482.45,486.65,481.45,5.2,1.08
Hitachi Energy,"4,443.50","4,392.90","4,419.90","4,372.85",47.05,1.08
Century,"1,191.00","1,180.10","1,184.00","1,171.35",12.65,1.08
Sobha,839.90,830.00,832.00,823.20,8.8,1.07
Adani Energy,774.10,765.05,768.50,760.45,8.05,1.06
Tata Elxsi,"8,171.00","8,077.00","8,140.25","8,055.05",85.2,1.06
Cochin Shipyard,"1,064.00","1,056.00","1,059.75","1,048.70",11.05,1.05
IDFC First Bank,86.70,86.00,86.25,85.35,0.9,1.05
SKF India,"4,750.00","4,650.00","4,664.55","4,615.90",48.65,1.05
Godfrey Phillip,"2,108.90","2,095.00","2,101.00","2,079.35",21.65,1.04
V-Guard Ind,291.55,288.80,291.00,288.00,3,1.04
Orient Electric,220.00,217.80,220.00,217.75,2.25,1.03
TeamLease Ser.,"2,512.95","2,475.00","2,482.95","2,457.60",25.35,1.03
Adani Wilmar,298.60,294.00,296.40,293.40,3,1.02
Bata India,"1,593.90","1,560.75","1,578.40","1,562.65",15.75,1.01
Deepak Fert,624.70,616.40,622.00,615.80,6.2,1.01
Uflex,438.70,433.00,436.40,432.05,4.35,1.01
PI Industries,"3,734.30","3,705.00","3,724.70","3,687.35",37.35,1.01
AU Small Financ,715.75,703.45,706.15,699.25,6.9,0.99
Sundram,"1,288.85","1,271.95","1,278.40","1,265.85",12.55,0.99
City Union Bank,144.30,143.10,143.65,142.25,1.4,0.98
Godrej Prop,"1,841.85","1,825.20","1,835.50","1,817.65",17.85,0.98
Gujarat Fluoro,"2,810.40","2,780.00","2,802.00","2,775.05",26.95,0.97
CreditAccess Gr,"1,728.50","1,707.80","1,716.00","1,699.70",16.3,0.96
EPL,198.65,191.35,194.60,192.75,1.85,0.96
Oil India,311.40,307.00,308.70,305.75,2.95,0.96
Chola Fin Hold,"1,155.70","1,123.00","1,149.90","1,139.00",10.9,0.96
GMR Airports,59.40,57.75,58.20,57.65,0.55,0.95
IDBI Bank,63.90,63.65,63.85,63.25,0.6,0.95
Epigral,920.00,910.00,915.35,906.70,8.65,0.95
Eicher Motors,"3,611.55","3,570.00","3,574.00","3,540.75",33.25,0.94
Hikal,281.75,278.50,279.00,276.40,2.6,0.94
IRFC,75.40,74.65,74.80,74.10,0.7,0.94
Welspun India,150.75,149.60,150.25,148.85,1.4,0.94
Nazara,830.00,824.00,827.80,820.15,7.65,0.93
Bharat Dynamics,"1,069.00","1,060.00","1,062.80","1,053.20",9.6,0.91
Central Bank,44.30,44.00,44.30,43.90,0.4,0.91
Eris Life,920.95,909.10,916.75,908.50,8.25,0.91
Interglobe Avi,"2,549.00","2,504.20","2,524.40","2,501.75",22.65,0.91
Muthoot Finance,"1,295.00","1,260.00","1,284.90","1,273.25",11.65,0.91
Alembic Pharma,734.40,715.00,733.10,726.60,6.5,0.89
L&T Finance,142.70,141.65,142.05,140.80,1.25,0.89
UTI AMC,792.00,782.05,786.95,780.00,6.95,0.89
CSB Bank,351.00,348.05,350.95,347.90,3.05,0.88
SBI Card,762.00,755.75,760.10,753.45,6.65,0.88
Brigade Ent,715.30,703.30,707.00,700.90,6.1,0.87
Piramal Enter,963.00,951.40,953.95,945.75,8.2,0.87
Thermax,"2,969.95","2,899.65","2,920.00","2,894.75",25.25,0.87
Exide Ind,272.00,270.00,270.45,268.15,2.3,0.86
Grindwell Norto,"2,098.00","2,071.65","2,083.95","2,066.10",17.85,0.86
PB Fintech,757.10,747.60,752.95,746.55,6.4,0.86
Wipro,383.40,381.45,382.55,379.30,3.25,0.86
Alkyl Amines,"2,155.00","2,127.50","2,145.50","2,127.50",18,0.85
HEG,"1,584.00","1,577.00","1,580.00","1,566.75",13.25,0.85
IGL,398.75,396.05,397.50,394.15,3.35,0.85
Jamna Auto,112.60,112.00,112.55,111.60,0.95,0.85
J. K. Cement,"3,553.80","3,482.70","3,493.00","3,463.50",29.5,0.85
Aditya Birla F,219.20,217.25,218.45,216.60,1.85,0.85
CIEINDIA,478.45,472.45,474.20,470.25,3.95,0.84
NOCIL,228.90,227.00,227.30,225.40,1.9,0.84
KPIL,635.95,631.55,635.45,630.25,5.2,0.83
India Cements,214.55,213.15,214.30,212.55,1.75,0.82
Yes Bank,18.60,18.35,18.45,18.30,0.15,0.82
ACC,"1,847.95","1,832.00","1,840.00","1,825.30",14.7,0.81
HUDCO,82.00,80.85,80.95,80.30,0.65,0.81
TTK Prestige,815.00,799.00,804.40,797.95,6.45,0.81
Granules India,371.00,367.10,369.50,366.55,2.95,0.8
Medplus Health,816.70,809.60,813.05,806.60,6.45,0.8
NTPC,246.35,243.00,244.70,242.75,1.95,0.8
Tata Power,253.90,252.40,253.40,251.40,2,0.8
GlaxoSmithKline,"1,492.60","1,479.00","1,483.40","1,471.80",11.6,0.79
Gland,"1,646.35","1,635.00","1,639.95","1,627.05",12.9,0.79
Ambuja Cements,422.20,420.00,421.35,418.10,3.25,0.78
Varroc Engineer,475.80,471.10,473.35,469.70,3.65,0.78
Raymond,"1,921.90","1,899.10","1,903.80","1,889.30",14.5,0.77
Titan Company,"3,320.00","3,265.00","3,281.55","3,256.35",25.2,0.77
Torrent Power,790.00,776.00,783.65,777.65,6,0.77
Adani Enterpris,"2,226.00","2,219.70","2,221.95","2,205.10",16.85,0.76
Craftsman,"4,980.00","4,913.40","4,925.00","4,888.05",36.95,0.76
HFCL,66.25,66.00,66.20,65.70,0.5,0.76
Sun TV Network,654.25,640.00,651.80,646.90,4.9,0.76
Bayer CropScien,"5,495.00","5,436.00","5,474.50","5,433.70",40.8,0.75
Tata Steel,121.60,120.65,120.95,120.05,0.9,0.75
Tata Steel,121.60,120.65,120.95,120.05,0.9,0.75
DLF,611.45,606.75,610.55,606.05,4.5,0.74
CHEMPLAST SANMA,454.40,442.10,450.55,447.30,3.25,0.73
Hindustan Aeron,"2,092.00","2,045.00","2,074.00","2,058.90",15.1,0.73
Hindustan Aeron,"2,092.00","2,045.00","2,074.00","2,058.90",15.1,0.73
Hind Zinc,305.80,303.20,304.00,301.80,2.2,0.73
Vodafone Idea,13.95,13.80,13.80,13.70,0.1,0.73
Just Dial,713.95,706.55,711.60,706.45,5.15,0.73
United Spirits,"1,066.75","1,046.40","1,051.95","1,044.35",7.6,0.73
Dalmia Bharat,"2,124.00","2,101.00","2,104.80","2,089.50",15.3,0.73
PNB Housing Fin,753.00,744.35,749.00,743.60,5.4,0.73
Mazagon Dock,"2,003.40","1,991.65","1,997.95","1,983.65",14.3,0.72
Reliance,"2,332.00","2,322.50","2,331.50","2,314.90",16.6,0.72
Union Bank,105.40,104.60,104.75,104.00,0.75,0.72
TV18 Broadcast,43.25,42.95,43.15,42.85,0.3,0.7
Shriram Finance,"1,967.75","1,957.10","1,965.80","1,952.20",13.6,0.7
TCS,"3,359.00","3,345.00","3,356.90","3,333.45",23.45,0.7
Aegis Logistics,314.05,311.05,312.65,310.50,2.15,0.69
Balaji Amines,"2,054.95","2,033.20","2,039.00","2,025.00",14,0.69
Zydus Wellness,"1,553.95","1,536.15","1,542.30","1,531.75",10.55,0.69
Clean Science,"1,386.00","1,371.80","1,380.45","1,371.00",9.45,0.69
Graphite India,470.00,466.00,467.55,464.35,3.2,0.69
Tanla Platforms,957.85,949.05,952.95,946.40,6.55,0.69
Emami,518.90,515.05,516.55,513.05,3.5,0.68
TataTeleservice,89.00,88.55,88.60,88.00,0.6,0.68
IRCTC,678.85,676.00,677.05,672.45,4.6,0.68
Asian Paints,"3,100.00","3,090.00","3,097.00","3,076.45",20.55,0.67
Bandhan Bank,220.00,218.80,219.20,217.75,1.45,0.67
Larsen,"3,060.00","3,044.00","3,053.65","3,033.25",20.4,0.67
Poly Medicure,"1,453.15","1,434.95","1,449.80","1,440.20",9.6,0.67
Adani Green Ene,952.75,941.05,944.85,938.70,6.15,0.66
APL Apollo,"1,671.05","1,656.00","1,665.40","1,654.55",10.85,0.66
DCM Shriram,893.65,883.80,889.65,883.80,5.85,0.66
AIA Engineering,"3,607.70","3,565.00","3,582.60","3,559.50",23.1,0.65
Divis Labs,"3,524.75","3,495.10","3,515.80","3,493.20",22.6,0.65
GAIL,126.75,125.75,126.40,125.60,0.8,0.64
Laurus Labs,372.95,368.95,371.30,368.95,2.35,0.64
Pfizer,"3,922.00","3,897.55","3,914.70","3,889.70",25,0.64
Rallis India,220.80,217.60,219.00,217.60,1.4,0.64
Sharda Crop,420.00,415.40,418.00,415.35,2.65,0.64
Container Corp,744.00,735.15,741.45,736.85,4.6,0.62
CG Consumer,285.05,281.70,284.00,282.25,1.75,0.62
Chalet Hotels,593.95,582.00,587.90,584.30,3.6,0.62
Indiamart Inter,"2,639.70","2,609.95","2,618.00","2,601.75",16.25,0.62
Nestle,"24,348.00","24,141.00","24,286.00","24,137.20",148.8,0.62
TML - D,448.30,445.40,446.20,443.45,2.75,0.62
TML - D,448.30,445.40,446.20,443.45,2.75,0.62
Bajaj Auto,"5,437.25","5,358.60","5,424.80","5,392.05",32.75,0.61
Bharat Elec,140.30,139.30,139.65,138.80,0.85,0.61
Dr Lal PathLab,"2,714.00","2,690.00","2,693.30","2,676.90",16.4,0.61
IEX,132.90,132.00,132.25,131.45,0.8,0.61
One 97 Paytm,905.00,895.05,899.50,894.15,5.35,0.6
HDFC Bank,"1,502.00","1,496.15","1,500.25","1,491.50",8.75,0.59
Sanofi India,"7,822.30","7,760.90","7,800.05","7,754.35",45.7,0.59
UNO Minda,639.90,633.80,636.50,632.75,3.75,0.59
Adani Ports,816.70,813.00,813.40,808.60,4.8,0.59
ONGC,198.80,196.50,197.05,195.90,1.15,0.59
Chambal Fert,312.70,309.00,309.60,307.80,1.8,0.58
Fert and Chem,728.25,722.75,725.80,721.65,4.15,0.58
Macrotech Dev,864.55,856.00,859.00,854.10,4.9,0.57
Max Healthcare,599.95,595.05,596.30,592.90,3.4,0.57
CESC,89.95,89.30,89.55,89.05,0.5,0.56
Petronet LNG,196.65,195.00,195.80,194.70,1.1,0.56
Honeywell Autom,"37,697.80","37,345.00","37,549.95","37,341.75",208.2,0.56
Chola Invest.,"1,160.00","1,149.00","1,154.55","1,148.25",6.3,0.55
KEC Intl,583.70,578.00,579.95,576.75,3.2,0.55
Zydus Life,624.80,619.85,623.25,619.90,3.35,0.54
Kotak Mahindra,"1,755.45","1,747.00","1,754.90","1,745.45",9.45,0.54
L&T Technology,"4,319.90","4,282.30","4,298.00","4,275.05",22.95,0.54
Angel One,"2,750.00","2,725.00","2,734.70","2,720.35",14.35,0.53
TCI Express,"1,356.60","1,342.00","1,346.90","1,339.80",7.1,0.53
Bharat Forge,"1,050.00","1,041.20","1,045.90","1,040.50",5.4,0.52
HINDPETRO,305.35,300.50,301.10,299.55,1.55,0.52
ITC,439.20,438.00,438.80,436.55,2.25,0.52
Shoppers Stop,664.70,657.25,659.55,656.15,3.4,0.52
Torrent Pharma,"2,076.75","2,060.05","2,068.80","2,058.20",10.6,0.52
Timken,"2,995.00","2,940.85","2,966.00","2,951.00",15,0.51
Indian Hotels,413.50,410.10,411.50,409.45,2.05,0.5
Infibeam Avenue,20.45,19.80,20.10,20.00,0.1,0.5
Keystone Real,559.95,549.25,552.00,549.25,2.75,0.5
P and G,"18,162.90","17,850.10","17,899.10","17,810.70",88.4,0.5
Oracle Fin Serv,"4,075.05","4,018.00","4,039.15","4,019.15",20,0.5
Shree Renuka,50.85,50.50,50.55,50.30,0.25,0.5
Siemens,"3,429.90","3,410.00","3,424.00","3,407.35",16.65,0.49
Havells India,"1,267.95","1,256.40","1,263.45","1,257.40",6.05,0.48
NHPC,52.15,51.70,51.85,51.60,0.25,0.48
Praj Industries,575.00,565.10,569.60,566.90,2.7,0.48
ICICI Prudentia,536.70,531.10,532.60,530.10,2.5,0.47
Oberoi Realty,"1,269.20","1,257.90","1,262.50","1,256.65",5.85,0.47
3M India,"32,090.00","31,580.00","31,699.95","31,558.00",141.95,0.45
Dabur India,537.05,534.60,535.75,533.35,2.4,0.45
KPR Mill,779.30,769.95,774.80,771.30,3.5,0.45
Marico,524.90,521.25,523.60,521.25,2.35,0.45
Tata Motors,657.95,653.15,653.95,651.05,2.9,0.45
Tata Motors,657.95,653.15,653.95,651.05,2.9,0.45
V-Mart Retail,"1,700.00","1,683.05","1,689.55","1,682.00",7.55,0.45
Atul,"6,683.60","6,653.05","6,680.45","6,651.30",29.15,0.44
Adani Power,404.25,400.00,401.15,399.40,1.75,0.44
Maruti Suzuki,"10,495.00","10,415.15","10,435.00","10,388.80",46.2,0.44
Varun Beverages,"1,023.00","1,011.25","1,013.45","1,009.05",4.4,0.44
Varun Beverages,"1,023.00","1,011.25","1,013.45","1,009.05",4.4,0.44
Cummins,"1,778.00","1,768.45","1,776.00","1,768.45",7.55,0.43
Dr Reddys Labs,"5,457.70","5,435.00","5,448.00","5,424.90",23.1,0.43
ICICI Bank,943.20,939.60,942.60,938.60,4,0.43
TATA Cons. Prod,922.00,916.05,916.65,912.70,3.95,0.43
Vaibhav Global,427.90,423.00,423.90,422.10,1.8,0.43
Godrej Consumer,996.90,987.30,988.40,984.30,4.1,0.42
SBI,584.75,580.50,581.95,579.50,2.45,0.42
Syngene Intl,722.30,713.50,719.55,716.55,3,0.42
Carborundum,"1,078.50","1,060.30","1,076.80","1,072.35",4.45,0.41
Phoenix Mills,"2,067.90","2,035.60","2,038.50","2,030.25",8.25,0.41
Balkrishna Ind,"2,592.15","2,557.00","2,576.70","2,566.55",10.15,0.4
HDFC AMC,"2,797.00","2,780.00","2,781.05","2,769.85",11.2,0.4
Power Grid Corp,213.70,211.70,212.00,211.15,0.85,0.4
SBI Life Insura,"1,370.50","1,353.10","1,360.85","1,355.40",5.45,0.4
Triveni Turbine,408.80,398.15,404.85,403.25,1.6,0.4
MphasiS,"2,219.00","2,202.20","2,210.70","2,202.20",8.5,0.39
Cipla,"1,248.90","1,243.00","1,244.95","1,240.10",4.85,0.39
HCL Tech,"1,265.45","1,256.35","1,260.40","1,255.45",4.95,0.39
Bank of Baroda,196.45,195.25,195.60,194.85,0.75,0.38
IOB,39.60,39.40,39.50,39.35,0.15,0.38
Prestige Estate,880.00,871.15,876.45,873.15,3.3,0.38
Navin Fluorine,"3,641.00","3,613.10","3,623.25","3,609.45",13.8,0.38
Persistent,"6,330.00","6,258.55","6,269.95","6,246.15",23.8,0.38
Castrol,138.50,135.50,137.15,136.65,0.5,0.37
Indiabulls Real,80.95,80.00,80.80,80.50,0.3,0.37
KRBL,359.85,355.50,356.60,355.30,1.3,0.37
Tech Mahindra,"1,147.15","1,142.00","1,142.35","1,138.15",4.2,0.37
Hinduja Global,949.40,935.00,938.00,934.60,3.4,0.36
IOC,98.90,98.05,98.40,98.05,0.35,0.36
JSW Steel,761.00,753.00,757.45,754.75,2.7,0.36
Abbott India,"23,881.35","23,725.00","23,790.00","23,705.65",84.35,0.36
Pidilite Ind,"2,454.00","2,438.25","2,441.20","2,432.35",8.85,0.36
Bank of Mah,43.55,43.20,43.30,43.15,0.15,0.35
Canara Bank,390.90,387.75,388.75,387.40,1.35,0.35
Guj Amb Exports,343.20,340.10,340.90,339.70,1.2,0.35
Garware Technic,"3,153.70","3,123.20","3,132.00","3,121.20",10.8,0.35
Hero Motocorp,"3,140.00","3,114.30","3,116.00","3,105.20",10.8,0.35
M&M Financial,273.60,272.10,272.50,271.55,0.95,0.35
Vardhman Text,370.00,365.00,367.95,366.65,1.3,0.35
AB Capital,176.75,173.95,175.65,175.05,0.6,0.34
Hindalco,486.00,482.50,482.95,481.30,1.65,0.34
SUMITOMO,388.00,382.45,383.60,382.30,1.3,0.34
JK Paper,383.00,378.00,378.65,377.40,1.25,0.33
Delhivery,412.00,407.75,409.50,408.15,1.35,0.33
Aster DM Health,345.75,339.00,340.45,339.35,1.1,0.32
Astral Ltd,"1,905.60","1,895.00","1,897.35","1,891.35",6,0.32
Bosch,"19,830.00","19,572.55","19,635.00","19,572.45",62.55,0.32
LIC Housing Fin,456.00,452.40,453.35,451.95,1.4,0.31
